Genes,Ctrl_a,Ctrl_b,Ctrl_c,Ctrl_d
GENE1,806.804354347728,419.67287139592,593.985620795778,413.807363774365
GENE2,503.134497283004,797.646450198155,545.493702625789,377.077698116959
GENE3,404.396055300232,447.021316557368,424.530101932977,511.430292634614
GENE4,409.045090047837,794.361254364826,348.5564660976,705.316834764782
GENE5,364.512625527233,566.094910836863,412.085684426005,589.216359627817
GENE6,473.393830202166,572.526602717109,459.638115897292,436.279855987409
GENE7,778.102888729368,595.915667266124,479.940256221759,428.82225540403
GENE8,719.251702596386,441.12981400986,476.645472907102,385.934050066379
GENE9,403.669785166702,576.836495821063,408.79804979481,674.432767370608
GENE10,493.258386559163,647.337462481069,572.35803039009,369.908718807581
GENE11,720.625158502301,584.824324879337,456.224292711518,579.951855793798
GENE12,509.44229062143,306.16198809442,464.204803875579,704.328344588598
GENE13,402.190219130424,595.510519467978,689.342081991339,684.320882945022
GENE14,437.638309115626,778.706281184442,547.679673386423,354.118248168242
GENE15,546.172474363472,471.966425981805,648.206096840707,545.545441111763
GENE16,638.360574244699,711.062905090312,731.497943373914,552.50262276458
GENE17,659.752035427336,760.885143094142,710.17193059556,757.880368513222
GENE18,586.14525919561,423.559806988888,389.258511070305,377.932822378402
GENE19,483.601085125937,410.243203401982,431.752595979996,438.315933607791
GENE20,341.554168497637,753.563317587136,780.298878433247,507.362805736746
GENE21,485.071820872144,733.125211726307,506.156489771995,536.27040841095
GENE22,479.014378116641,474.795542924619,555.882364833303,464.179999942121
GENE23,511.092511264091,528.458364917178,606.737037244169,601.73223261295
GENE24,716.74173312908,766.934139072339,523.659971354298,537.727529418689
GENE25,793.260383120251,657.235686482028,801.016917643155,461.640729133378
GENE26,833.717208060929,614.613762914971,441.495319668119,398.526861286809
GENE27,529.66996640006,573.356349296241,470.638858639727,543.309114041434
GENE28,539.111621625843,502.229635989653,355.844082406789,693.377287638393
GENE29,494.789278274819,266.438492797561,736.405128370141,470.064549345911
GENE30,507.354145080046,363.192436008282,434.496208488763,328.404379858255
GENE31,561.956768503837,591.14721973601,574.065333451956,636.981932776065
GENE32,552.304726511435,479.27663140257,663.623460959131,571.441270126714
GENE33,548.809576632104,487.504423958347,472.115636760503,525.661194352186
GENE34,683.202676156719,698.23525475855,726.516221282498,561.718997730254
GENE35,569.636689941918,591.851722765799,390.101926822549,309.248871564018
GENE36,692.710733766302,549.477185297486,517.431585108458,504.571582297753
GENE37,616.762919083252,362.461334312322,666.982087456209,619.468663465309
GENE38,551.582926915554,798.200011923866,213.157430840736,496.918677790504
GENE39,628.213397941736,665.713168152436,505.121622989094,486.99751274022
GENE40,516.593792403106,435.454418557779,598.52301295671,520.272696264973
GENE41,767.162605440006,909.495707991434,533.389381989287,524.87989814321
GENE42,764.71908277987,284.690679892944,583.351757202113,506.757356466221
GENE43,520.047367883654,680.578608175846,627.320919293892,592.588294256041
GENE44,500.912561682616,521.325935737198,559.138456790793,422.358210588265
GENE45,467.418639228663,412.340198309727,467.759046207576,588.853891526262
GENE46,748.222763687048,514.853153134491,556.606657260095,418.427773841207
GENE47,676.883148606408,461.547834034411,651.754494377641,501.590833870092
GENE48,657.748933232987,533.509346319342,656.694839313255,565.782439817849
GENE49,482.210668519825,567.319059061901,313.94161525985,414.714716022211
GENE50,581.369279179789,379.076053664129,628.093808605115,667.911304219552
GENE51,433.983770508996,671.180525472502,558.221629111707,569.402674721673
GENE52,650.870420683441,592.312919066183,417.194880238673,740.353403358467
GENE53,721.530281386334,895.275057676229,523.448929117125,694.206316376948
GENE54,392.782875789683,696.775933762358,677.266115219122,756.993955914448
GENE55,586.273382699293,518.484783749374,486.390071291084,450.47805475113
GENE56,496.062170560916,618.863114506875,732.644101220791,616.728749939148
GENE57,421.030519822639,574.271507411588,592.509128001938,340.941197998381
GENE58,460.462105892697,284.496005920536,624.332786717056,620.960173303611
GENE59,647.34617360021,591.512927313341,448.978442422974,518.506074654315
GENE60,768.07510793039,625.915936145084,548.67186271968,388.710122445725
GENE61,699.489254925317,608.861669843442,531.140892687453,605.571717475924
GENE62,529.417352659783,455.282875784783,505.277702527363,358.644785383032
GENE63,433.056577983115,411.65514906139,395.419172912439,541.332105631565
GENE64,451.077728220399,444.96644625933,432.237618966086,583.402423016017
GENE65,437.083715344477,355.445797482581,445.754400347441,499.986889615984
GENE66,523.245619328813,739.776205333777,213.189984737101,390.84949671835
GENE67,433.608606875386,631.474379592836,493.927488046428,623.046830403408
GENE68,508.717362544697,570.877635240274,500.802054074837,573.389322472786
GENE69,723.825900938344,517.897679867183,668.582915318696,711.45917690321
GENE70,467.644837313621,702.544845746465,462.63398583523,716.979301742562
GENE71,769.49424164001,805.269833537591,581.357876476799,577.689866090203
GENE72,593.11847573121,631.639055040581,598.024575368057,308.664927105276
GENE73,485.45496711433,504.950400398941,674.225029061233,597.108866742179
GENE74,686.757538798307,625.845389382864,609.290453690004,681.435511758952
GENE75,401.410319017711,550.738758822944,601.203002146366,442.151327854989
GENE76,546.461400583438,734.107977943281,494.485775352103,714.465415385016
GENE77,336.553133691368,613.724109895978,584.209463501278,466.446325503178
GENE78,390.112292560579,790.892757829954,338.858174836711,440.337703525309
GENE79,511.845762386449,565.554563117071,563.790573234668,665.420941219409
GENE80,351.136121789892,438.361484204853,313.616762600247,624.476316518045
GENE81,625.224646546275,494.746995304767,463.615545350097,735.920925558545
GENE82,383.632180141995,645.433373144122,541.504106927447,586.153974046326
GENE83,675.441716273848,862.373273340024,588.924894835575,794.425311791635
GENE84,418.072463106392,388.40704827159,691.25663781999,446.742581953183
GENE85,346.246846907706,651.36859118446,489.600406150921,398.80716122222
GENE86,662.989188478295,574.62206292385,574.300060634063,680.169348402648
GENE87,727.273156972023,587.286376417864,478.508869591288,680.762893024466
GENE88,605.670718194096,601.412102138734,504.779896104694,518.961028995858
GENE89,538.89430856628,654.359367524178,338.876575214822,858.075465341168
GENE90,596.983839218316,501.723360214355,641.120764633725,930.587645069524
