Genes,C3_a,C3_b,C3_c,C3_d
GENE1,803.381694823626,962.865024869912,750.45694815483,697.095629656602
GENE2,1037.35021010848,902.675722718776,748.860774765099,932.857540838392
GENE3,975.501239143669,944.942126830864,881.898086708925,896.818554096494
GENE4,791.688409013601,844.971259053378,913.395351253294,806.39357045666
GENE5,928.696615887031,1026.1646178866,789.727527606295,1157.43456797197
GENE6,806.352690394469,821.520273290137,763.156010122124,721.012267513372
GENE7,1023.86054298975,1023.84526193281,1034.91137597886,676.888188407579
GENE8,845.341769782664,950.832084784262,837.243489314947,817.736085145211
GENE9,883.969821263389,694.514343239982,844.155664600936,782.154912630915
GENE10,751.08542393092,773.295467332319,1057.51351974544,628.472915737544
GENE11,710.123300740384,757.765182143704,931.479798668528,755.110804152738
GENE12,907.700846502041,1140.43380722152,853.593511004059,1114.32784435921
GENE13,1145.19511676852,1024.54775379226,990.748758151185,954.99841704414
GENE14,718.366144036031,897.379060028297,947.319006432428,1078.47464058658
GENE15,1046.88478749624,897.358806877962,871.537791806683,557.014123547791
GENE16,850.087845290165,823.886413372291,1081.71237141498,761.203180337633
GENE17,629.776383774322,1110.1884690859,939.52255433186,822.356923367704
GENE18,1002.27144643702,1138.82646803073,1033.72618302655,898.824577007951
GENE19,706.392901369131,803.789128949065,949.52867732748,897.975587998158
GENE20,960.256213123106,642.74717660945,794.316812050469,964.382972093853
GENE21,805.583536442067,1066.6909450671,877.504076913621,939.542957693305
GENE22,704.651973602214,1074.97940120935,865.236015923071,917.780345740474
GENE23,1043.68462247576,895.52785649683,761.407006999444,731.923236764388
GENE24,913.084734665064,1051.3170792506,810.629801179962,759.958057271127
GENE25,981.740707788765,913.643124630263,782.216115279321,745.615079313403
GENE26,724.433259925274,975.584284940446,992.153075288199,851.020192396892
GENE27,842.84354152319,1006.67202061917,686.784085261837,906.080842458052
GENE28,805.14323589658,965.929272100386,750.249468086996,607.461055466264
GENE29,813.265008441111,555.18113583863,704.085983040113,981.197703974921
GENE30,1044.89723601356,922.325282872067,903.512132816578,604.637190292015
GENE31,897.101313637472,827.900841101531,1006.02295358638,1081.58778428402
GENE32,856.70834305207,941.030517125627,918.13067982746,1036.37134547826
GENE33,817.351781843198,747.257789187515,830.6684830216,738.819423039449
GENE34,1052.78807075065,1165.6588655925,903.766029672808,785.093059125687
GENE35,725.586261738281,1071.0772738321,1079.70280015837,912.434797836427
GENE36,813.936150145317,950.115675379784,1061.33739604565,979.677378088946
GENE37,987.869560042046,669.206789432568,1017.70810412203,983.714688254756
GENE38,942.102024783657,934.500212022276,794.935655737652,1053.93351174086
GENE39,799.877691651944,937.201362703869,1036.48557728318,907.176722548977
GENE40,725.993792465602,1051.47500151361,765.459053716409,1180.91586541868
GENE41,1023.41409520089,852.438722511941,984.306937594732,960.58290368924
GENE42,873.01217400351,1024.04583861403,937.463232237214,848.50781730696
GENE43,860.367702942011,764.87710426025,848.281304700574,691.224159823005
GENE44,814.608816982983,923.205119298806,851.280964932058,1037.23809191801
GENE45,1087.67528683972,822.005316274683,739.154673228597,843.213072206245
GENE46,921.454996526537,869.022991819193,993.66334313635,773.779483343037
GENE47,771.661751915637,1016.16526431906,943.392133909624,918.291957659122
GENE48,826.689576154335,844.679312878171,898.148149154414,745.736130546066
GENE49,838.597027722896,928.012369442843,900.811059361505,871.261600486622
GENE50,847.536684832247,1045.90975088249,799.288940724314,923.96591700306
GENE51,989.440340033748,1020.30520329933,1016.29670617398,849.131066340822
GENE52,893.887361988417,866.4388847051,1100.81019588735,680.122994389051
GENE53,851.594687120751,1123.35111511454,907.239401697258,873.326215949578
GENE54,835.100167420436,1017.85392804556,978.244075577848,686.91649378178
GENE55,672.865743899777,1027.62020035321,1034.44805341027,910.547811095117
GENE56,992.635951289877,995.31863132426,1046.48421464695,789.211681842876
GENE57,904.694809074473,982.175751615863,937.290211686867,1030.47400412942
GENE58,905.006487249339,700.170642794834,843.781400860593,1048.32429686831
GENE59,799.270440063369,913.39831238866,952.439291015127,864.427646816599
GENE60,878.195445636352,873.968180394771,894.43040838968,982.707011819017
GENE61,902.862307540925,1016.11130779478,1100.1833817601,774.677031979757
GENE62,867.614674619215,929.792439884512,981.473867828639,1023.47821600246
GENE63,1027.51978209546,888.061895875531,957.258698323414,917.471460495293
GENE64,964.056283296099,947.782651365364,654.970669060201,992.815642812777
GENE65,871.03779010249,947.832074485203,850.154631338944,986.972964208215
GENE66,955.953083162845,823.219697022246,907.304706385715,820.325661336177
GENE67,853.370335559524,849.849316871678,943.901328450039,907.112181111551
GENE68,944.100753936808,868.733416182689,997.871603148444,967.880931121329
GENE69,647.500336352316,1058.97618671174,717.916786370032,789.990563704493
GENE70,976.54449961591,1106.65732889381,977.292531030187,885.851086337355
GENE71,940.428403059416,970.256876961329,939.243137981024,881.434759326056
GENE72,769.008898008015,831.823395943502,790.354121518939,753.302119614656
GENE73,791.899162413533,980.946664431374,731.468416201667,830.066625716454
GENE74,1023.51971903716,883.277581570113,920.064760167635,744.800622794346
GENE75,1037.72501522309,764.672545563468,915.386647229442,962.960397952652
GENE76,869.973090110203,996.046430333722,714.273236596281,831.036237632685
GENE77,872.615116240707,984.07270236783,849.473189037021,989.551964709026
GENE78,1036.04071548576,874.97470651028,841.902927660649,1000.33641309696
GENE79,879.728335385341,795.959219076833,777.032013609074,1083.63694428366
GENE80,677.633214710622,900.453895110293,970.282307023437,1076.36585356305
GENE81,905.101552706462,761.037465566354,684.273008454629,1059.15039135151
GENE82,910.416565429317,917.49512123891,964.785751741588,879.480942032936
GENE83,762.6553847026,921.391673355947,1063.49718091023,1000.23752434561
GENE84,1159.02024755496,910.872203981995,837.345802774034,963.159521473864
GENE85,899.61888598944,877.673194374175,737.651296672018,716.706744888177
GENE86,904.074251526251,1003.90297400989,1178.71183874253,1026.44549888911
GENE87,986.497667036209,995.226137883882,859.194568065222,863.55554439528
GENE88,989.795900770424,865.316926343142,979.783644705693,938.933401610975
GENE89,798.380052449911,903.243488855087,881.839930819241,916.710018786489
GENE90,755.636849249181,896.664001648106,841.640729067493,821.532554823917
GENE91,853.71493507529,800.986151117879,856.936014719949,1010.7804854379
GENE92,1246.22988944314,983.582881889199,858.241197802015,657.562615236437
GENE93,997.717606710561,922.194800010104,815.634983933722,847.814226672639
GENE94,1082.30919988359,850.053808872656,780.40199173541,946.489361127082
GENE95,1017.91518189653,912.149052592226,994.696010591859,999.625914051598
GENE96,940.714608581017,921.14670013936,999.29667223516,744.155723947953
GENE97,791.091619404279,939.048601811019,718.561107799367,920.52240471892
GENE98,892.365096847221,659.001232185051,732.798273280687,924.99105290349
GENE99,746.245397835472,816.227659961725,721.589875563553,931.459555873239
GENE100,845.807977023654,976.177141216546,956.925761587837,841.555330628223
GENE101,937.379234513337,953.495623264426,1012.01820369988,726.421369743312
GENE102,895.567503848676,856.724051857195,839.454182206456,804.148398733156
GENE103,863.842119322661,770.973358504726,904.320946695159,965.925507429731
GENE104,848.032387694317,807.454704037295,796.777162567349,816.720173608986
GENE105,969.337026686432,959.539580303266,850.648808502232,970.452743088031
GENE106,885.47659238374,883.555706076615,721.757635708087,916.751860380054
GENE107,997.937684578958,823.383505873616,897.011724913624,874.324306103977
GENE108,1030.77125212599,953.529760045534,981.91926060234,1079.63627493713
GENE109,906.159560399575,966.216609302119,1108.64739179012,867.930868618057
GENE110,991.078261967381,1005.14728047915,1035.76535580179,917.241613941283
GENE111,1014.56242675056,806.310764024528,1285.1074561964,716.04759095922
GENE112,1085.79063517624,913.123511648488,863.29879554977,869.951189333581
GENE113,963.981579524941,930.559998104351,1160.80644010679,957.456409735315
GENE114,877.571070860242,903.380787467492,941.375321804494,821.725216838626
GENE115,1120.56056005812,867.794789884753,972.640025032975,781.51200255179
GENE116,970.971560681724,935.503545478957,1305.47192883951,858.865873608935
GENE117,863.134629655055,830.731109195157,960.483276076496,1012.9051155373
GENE118,836.007511318281,722.032653358816,913.816921413038,810.52591767079
GENE119,939.253450704531,982.999593719839,887.676168833051,792.75089953357
